"filename", "language", "C++", "comment", "blank", "total"
"/home/levce/projectsDED/event_handler2/Event_handler/Button.h", "C++", 1, 0, 2, 3
"/home/levce/projectsDED/event_handler2/Event_handler/Canvas.h", "C++", -1, 0, 0, -1
"/home/levce/projectsDED/event_handler2/Event_handler/ComboBox.h", "C++", 43, 0, 9, 52
"/home/levce/projectsDED/event_handler2/Event_handler/CompositeObject.h", "C++", 7, 0, -1, 6
"/home/levce/projectsDED/event_handler2/Event_handler/Decorator.h", "C++", 8, 0, 1, 9
"/home/levce/projectsDED/event_handler2/Event_handler/DecoratorScroll.h", "C++", -7, 0, -1, -8
"/home/levce/projectsDED/event_handler2/Event_handler/DecoratorScrollBar.h", "C++", -1, 0, -3, -4
"/home/levce/projectsDED/event_handler2/Event_handler/GraphicLib.h", "C++", 3, 0, -1, 2
"/home/levce/projectsDED/event_handler2/Event_handler/HSLpalette.h", "C++", 108, 0, 21, 129
"/home/levce/projectsDED/event_handler2/Event_handler/Image.h", "C++", 10, 0, 1, 11
"/home/levce/projectsDED/event_handler2/Event_handler/Label.h", "C++", -11, 0, -1, -12
"/home/levce/projectsDED/event_handler2/Event_handler/Menu.h", "C++", -4, 0, -2, -6
"/home/levce/projectsDED/event_handler2/Event_handler/MenuBar.h", "C++", 15, 0, 6, 21
"/home/levce/projectsDED/event_handler2/Event_handler/Object.h", "C++", 7, 0, 2, 9
"/home/levce/projectsDED/event_handler2/Event_handler/RenderTexture.h", "C++", 4, 0, 1, 5
"/home/levce/projectsDED/event_handler2/Event_handler/ScrollBar.h", "C++", 37, 0, 13, 50
"/home/levce/projectsDED/event_handler2/Event_handler/Surface.h", "C++", 1, 0, 0, 1
"/home/levce/projectsDED/event_handler2/Event_handler/Text.h", "C++", 8, 0, 2, 10
"/home/levce/projectsDED/event_handler2/Event_handler/ToolEraser.h", "C++", 109, 0, 27, 136
"/home/levce/projectsDED/event_handler2/Event_handler/ToolManager.h", "C++", 1, 0, -1, 0
"/home/levce/projectsDED/event_handler2/Event_handler/ToolPaint.h", "C++", 44, 0, 14, 58
"/home/levce/projectsDED/event_handler2/Event_handler/Widget.h", "C++", 2, 0, 1, 3
"/home/levce/projectsDED/event_handler2/Event_handler/help_file.cpp", "C++", -18, 0, -4, -22
"/home/levce/projectsDED/event_handler2/Event_handler/main.cpp", "C++", -40, 16, -13, -37
"/home/levce/projectsDED/event_handler2/Event_handler/main3.cpp", "C++", -19, 0, -8, -27
"/home/levce/projectsDED/event_handler2/Event_handler/main9.cpp", "C++", 52, 0, 24, 76
"/home/levce/projectsDED/event_handler2/Event_handler/mainj.cpp", "C++", 0, 15, 6, 21
"Total", "-", 359, 31, 95, 485
