"filename", "language", "C++", "comment", "blank", "total"
"/home/levce/projectsDED/event_handler2/Event_handler/Button.cpp", "C++", -8, 8, 0, 0
"/home/levce/projectsDED/event_handler2/Event_handler/ColorPicker.h", "C++", 59, 0, 11, 70
"/home/levce/projectsDED/event_handler2/Event_handler/HSVwindow.h", "C++", 26, 0, 5, 31
"/home/levce/projectsDED/event_handler2/Event_handler/MainWindow.h", "C++", 0, 0, -1, -1
"/home/levce/projectsDED/event_handler2/Event_handler/Object.h", "C++", 1, 0, 2, 3
"/home/levce/projectsDED/event_handler2/Event_handler/ToolPaint.h", "C++", -24, 0, -5, -29
"/home/levce/projectsDED/event_handler2/Event_handler/main.cpp", "C++", 30, -39, -2, -11
"Total", "-", 84, -31, 10, 63
