"filename", "language", "C++", "Makefile", "comment", "blank", "total"
"/home/levce/projectsDED/event_handler2/Event_handler/Canvas.h", "C++", 45, 0, 0, 18, 63
"/home/levce/projectsDED/event_handler2/Event_handler/Color.cpp", "C++", 1, 0, 0, 0, 1
"/home/levce/projectsDED/event_handler2/Event_handler/Color.h", "C++", 1, 0, 0, 0, 1
"/home/levce/projectsDED/event_handler2/Event_handler/Event.cpp", "C++", 30, 0, 0, 11, 41
"/home/levce/projectsDED/event_handler2/Event_handler/GraphicLib.h", "C++", -1, 0, 0, 0, -1
"/home/levce/projectsDED/event_handler2/Event_handler/HorizontalScrollBar.h", "C++", 5, 0, 0, 4, 9
"/home/levce/projectsDED/event_handler2/Event_handler/Makefile", "Makefile", 0, 6, 2, 6, 14
"/home/levce/projectsDED/event_handler2/Event_handler/Memento.h", "C++", 0, 0, 109, 11, 120
"/home/levce/projectsDED/event_handler2/Event_handler/Surface.h", "C++", 24, 0, 0, 7, 31
"/home/levce/projectsDED/event_handler2/Event_handler/Texture.h", "C++", 4, 0, 0, 0, 4
"/home/levce/projectsDED/event_handler2/Event_handler/TextureManager.h", "C++", 40, 0, 0, 9, 49
"/home/levce/projectsDED/event_handler2/Event_handler/Tool.h", "C++", -8, 0, 0, -2, -10
"/home/levce/projectsDED/event_handler2/Event_handler/ToolBadEraser.h", "C++", -145, 0, 0, -35, -180
"/home/levce/projectsDED/event_handler2/Event_handler/ToolEraser.cpp", "C++", 85, 0, 0, 23, 108
"/home/levce/projectsDED/event_handler2/Event_handler/ToolEraser.h", "C++", -73, 0, 0, -21, -94
"/home/levce/projectsDED/event_handler2/Event_handler/ToolManager.cpp", "C++", 4, 0, 0, 2, 6
"/home/levce/projectsDED/event_handler2/Event_handler/ToolManager.h", "C++", 70, 0, 0, 20, 90
"/home/levce/projectsDED/event_handler2/Event_handler/VerticalScrollBar.h", "C++", 5, 0, 0, 4, 9
"/home/levce/projectsDED/event_handler2/Event_handler/main.cpp", "C++", 3, 0, 0, 1, 4
"Total", "-", 90, 6, 111, 58, 265
