"filename", "language", "C++", "comment", "blank", "total"
"/home/levce/projectsDED/event_handler2/Event_handler/Color.cpp", "C++", 42, 21, -13, 50
"/home/levce/projectsDED/event_handler2/Event_handler/Color.h", "C++", 6, 0, 1, 7
"/home/levce/projectsDED/event_handler2/Event_handler/Editor.h", "C++", 3, 0, 0, 3
"/home/levce/projectsDED/event_handler2/Event_handler/HSVpalette.h", "C++", -9, 0, -2, -11
"/home/levce/projectsDED/event_handler2/Event_handler/HSVwindow.h", "C++", 24, 0, 5, 29
"/home/levce/projectsDED/event_handler2/Event_handler/Label.h", "C++", -2, 0, 2, 0
"/home/levce/projectsDED/event_handler2/Event_handler/ScrollBar.h", "C++", -7, 0, 0, -7
"/home/levce/projectsDED/event_handler2/Event_handler/Text.h", "C++", 1, 0, 0, 1
"/home/levce/projectsDED/event_handler2/Event_handler/ToolPaint.h", "C++", 1, 0, 1, 2
"/home/levce/projectsDED/event_handler2/Event_handler/main.cpp", "C++", 14, -14, 2, 2
"Total", "-", 73, 7, -4, 76
