"filename", "language", "C++", "Makefile", "comment", "blank", "total"
"/home/levce/projectsDED/event_handler2/Event_handler/Event.cpp", "C++", -1, 0, 0, 0, -1
"/home/levce/projectsDED/event_handler2/Event_handler/Image.h", "C++", 0, 0, -1, 0, -1
"/home/levce/projectsDED/event_handler2/Event_handler/Makefile", "Makefile", 0, 4, 0, 0, 4
"/home/levce/projectsDED/event_handler2/Event_handler/ToolBacket.h", "C++", 0, 0, 0, -1, -1
"/home/levce/projectsDED/event_handler2/Event_handler/ToolBucket.cpp", "C++", 84, 0, 4, 23, 111
"/home/levce/projectsDED/event_handler2/Event_handler/ToolBucket.h", "C++", 39, 0, 0, 14, 53
"/home/levce/projectsDED/event_handler2/Event_handler/ToolEraser.cpp", "C++", 0, 0, 0, -2, -2
"/home/levce/projectsDED/event_handler2/Event_handler/ToolPaint.cpp", "C++", 1, 0, 0, 1, 2
"/home/levce/projectsDED/event_handler2/Event_handler/ToolPaint.h", "C++", 16, 0, 0, 4, 20
"/home/levce/projectsDED/event_handler2/Event_handler/message_tool.cpp", "C++", -99, 0, 0, -26, -125
"/home/levce/projectsDED/event_handler2/Event_handler/message_tool.hpp", "C++", -21, 0, 0, -8, -29
"/home/levce/projectsDED/event_handler2/Event_handler/tools.hpp", "C++", -95, 0, -15, -25, -135
"Total", "-", -76, 4, -12, -20, -104
