"filename", "language", "C++", "comment", "blank", "total"
"/home/levce/projectsDED/event_handler2/Event_handler/DecoratorScrollBar.h", "C++", 6, 0, 3, 9
"/home/levce/projectsDED/event_handler2/Event_handler/ScrollBar.h", "C++", 5, 0, 1, 6
"/home/levce/projectsDED/event_handler2/Event_handler/ScrollBarDecorator.h", "C++", -5, 0, -3, -8
"/home/levce/projectsDED/event_handler2/Event_handler/ScrollContainer.h", "C++", -4, 0, 0, -4
"/home/levce/projectsDED/event_handler2/Event_handler/main.cpp", "C++", -9, 0, -4, -13
"/home/levce/projectsDED/event_handler2/Event_handler/t.cpp", "C++", 21, 0, 4, 25
"Total", "-", 14, 0, 1, 15
