"filename", "language", "C++", "Makefile", "comment", "blank", "total"
"/home/levce/projectsDED/event_handler2/Event_handler/Application.h", "C++", 39, 0, 0, 10, 49
"/home/levce/projectsDED/event_handler2/Event_handler/Button.h", "C++", 127, 0, 0, 30, 157
"/home/levce/projectsDED/event_handler2/Event_handler/Color.cpp", "C++", 270, 0, 0, 77, 347
"/home/levce/projectsDED/event_handler2/Event_handler/Color.h", "C++", 65, 0, 0, 18, 83
"/home/levce/projectsDED/event_handler2/Event_handler/Command.h", "C++", 8, 0, 0, 2, 10
"/home/levce/projectsDED/event_handler2/Event_handler/CompositeObject.h", "C++", 148, 0, 0, 33, 181
"/home/levce/projectsDED/event_handler2/Event_handler/Container.h", "C++", 12, 0, 0, 3, 15
"/home/levce/projectsDED/event_handler2/Event_handler/Decorator.h", "C++", 136, 0, 0, 34, 170
"/home/levce/projectsDED/event_handler2/Event_handler/DecoratorScroll.h", "C++", 0, 0, 0, 1, 1
"/home/levce/projectsDED/event_handler2/Event_handler/DecoratorScrollBar.h", "C++", 105, 0, 0, 26, 131
"/home/levce/projectsDED/event_handler2/Event_handler/EventManager.h", "C++", 104, 0, 0, 30, 134
"/home/levce/projectsDED/event_handler2/Event_handler/Label.h", "C++", 37, 0, 0, 8, 45
"/home/levce/projectsDED/event_handler2/Event_handler/MainWindow.h", "C++", 15, 0, 0, 4, 19
"/home/levce/projectsDED/event_handler2/Event_handler/Makefile", "Makefile", 0, 16, 0, 8, 24
"/home/levce/projectsDED/event_handler2/Event_handler/Object.h", "C++", 135, 0, 4, 38, 177
"/home/levce/projectsDED/event_handler2/Event_handler/RenderTexture.h", "C++", 36, 0, 0, 8, 44
"/home/levce/projectsDED/event_handler2/Event_handler/ReplaceCommand.h", "C++", 6, 0, 0, 3, 9
"/home/levce/projectsDED/event_handler2/Event_handler/ScrollBar.h", "C++", 78, 0, 0, 18, 96
"/home/levce/projectsDED/event_handler2/Event_handler/ScrollContainer.h", "C++", 34, 0, 7, 9, 50
"/home/levce/projectsDED/event_handler2/Event_handler/ScrollObject.h", "C++", 5, 0, 0, 1, 6
"/home/levce/projectsDED/event_handler2/Event_handler/SimpleCommand.h", "C++", 23, 0, 0, 9, 32
"/home/levce/projectsDED/event_handler2/Event_handler/Sprite.h", "C++", 73, 0, 0, 18, 91
"/home/levce/projectsDED/event_handler2/Event_handler/Text.h", "C++", 30, 0, 0, 7, 37
"/home/levce/projectsDED/event_handler2/Event_handler/Texture.h", "C++", 33, 0, 0, 10, 43
"/home/levce/projectsDED/event_handler2/Event_handler/Vector2d.cpp", "C++", 67, 0, 0, 18, 85
"/home/levce/projectsDED/event_handler2/Event_handler/Vector2d.h", "C++", 32, 0, 0, 7, 39
"/home/levce/projectsDED/event_handler2/Event_handler/Widget.h", "C++", 50, 0, 0, 15, 65
"/home/levce/projectsDED/event_handler2/Event_handler/Window.cpp", "C++", 41, 0, 3, 18, 62
"/home/levce/projectsDED/event_handler2/Event_handler/Window.h", "C++", 25, 0, 0, 8, 33
"/home/levce/projectsDED/event_handler2/Event_handler/constants.h", "C++", 10, 0, 0, 2, 12
"/home/levce/projectsDED/event_handler2/Event_handler/functions.cpp", "C++", 34, 0, 0, 9, 43
"/home/levce/projectsDED/event_handler2/Event_handler/functions.h", "C++", 6, 0, 0, 2, 8
"/home/levce/projectsDED/event_handler2/Event_handler/main.cpp", "C++", 60, 0, 0, 22, 82
"/home/levce/projectsDED/event_handler2/Event_handler/t.cpp", "C++", 89, 0, 0, 21, 110
"Total", "-", 1933, 16, 14, 527, 2490
