"filename", "language", "C++", "comment", "blank", "total"
"/home/levce/projectsDED/event_handler2/Event_handler/Application.h", "C++", 12, 0, 7, 19
"/home/levce/projectsDED/event_handler2/Event_handler/Button.h", "C++", 26, 0, 8, 34
"/home/levce/projectsDED/event_handler2/Event_handler/Canvas.h", "C++", 5, -1, 1, 5
"/home/levce/projectsDED/event_handler2/Event_handler/Color.cpp", "C++", 8, 0, 0, 8
"/home/levce/projectsDED/event_handler2/Event_handler/Color.h", "C++", 2, 0, 1, 3
"/home/levce/projectsDED/event_handler2/Event_handler/Command.h", "C++", 1, 0, 0, 1
"/home/levce/projectsDED/event_handler2/Event_handler/CompositeObject.h", "C++", 13, 0, 3, 16
"/home/levce/projectsDED/event_handler2/Event_handler/Container.h", "C++", 7, 0, 1, 8
"/home/levce/projectsDED/event_handler2/Event_handler/Decorator.h", "C++", 3, 0, 2, 5
"/home/levce/projectsDED/event_handler2/Event_handler/DecoratorScroll.h", "C++", 3, 0, 3, 6
"/home/levce/projectsDED/event_handler2/Event_handler/DecoratorScrollBar.h", "C++", 52, 0, 15, 67
"/home/levce/projectsDED/event_handler2/Event_handler/Event.cpp", "C++", 36, 0, 7, 43
"/home/levce/projectsDED/event_handler2/Event_handler/Event.h", "C++", 16, 0, 0, 16
"/home/levce/projectsDED/event_handler2/Event_handler/EventManager.h", "C++", 6, 0, 0, 6
"/home/levce/projectsDED/event_handler2/Event_handler/GraphicLib.h", "C++", 1, 0, 0, 1
"/home/levce/projectsDED/event_handler2/Event_handler/HSVpalette.h", "C++", 2, 4, 0, 6
"/home/levce/projectsDED/event_handler2/Event_handler/HSVwindow.h", "C++", 11, 0, 3, 14
"/home/levce/projectsDED/event_handler2/Event_handler/HorizontalScrollBar.h", "C++", 153, 0, 39, 192
"/home/levce/projectsDED/event_handler2/Event_handler/Image.h", "C++", -1, 0, 1, 0
"/home/levce/projectsDED/event_handler2/Event_handler/MyToolPaint.h", "C++", 148, 0, 42, 190
"/home/levce/projectsDED/event_handler2/Event_handler/Object.h", "C++", 28, 0, 5, 33
"/home/levce/projectsDED/event_handler2/Event_handler/RenderTexture.h", "C++", 10, 0, 3, 13
"/home/levce/projectsDED/event_handler2/Event_handler/ScrollBar.h", "C++", -144, 0, -38, -182
"/home/levce/projectsDED/event_handler2/Event_handler/SimpleCommand.h", "C++", 2, 0, 2, 4
"/home/levce/projectsDED/event_handler2/Event_handler/Sprite.h", "C++", 1, 0, 0, 1
"/home/levce/projectsDED/event_handler2/Event_handler/Text.h", "C++", 4, 0, 1, 5
"/home/levce/projectsDED/event_handler2/Event_handler/Texture.h", "C++", 2, 0, 0, 2
"/home/levce/projectsDED/event_handler2/Event_handler/Tool.h", "C++", 5, 0, 1, 6
"/home/levce/projectsDED/event_handler2/Event_handler/ToolButton.h", "C++", 1, 0, 1, 2
"/home/levce/projectsDED/event_handler2/Event_handler/ToolEraser.h", "C++", 20, 0, 4, 24
"/home/levce/projectsDED/event_handler2/Event_handler/ToolManager.h", "C++", 8, 1, 2, 11
"/home/levce/projectsDED/event_handler2/Event_handler/ToolPaint.h", "C++", 3, 0, 0, 3
"/home/levce/projectsDED/event_handler2/Event_handler/VerticalScrollBar.h", "C++", 154, 0, 39, 193
"/home/levce/projectsDED/event_handler2/Event_handler/Widget.h", "C++", 2, 0, 1, 3
"/home/levce/projectsDED/event_handler2/Event_handler/Window.h", "C++", 8, 0, 2, 10
"/home/levce/projectsDED/event_handler2/Event_handler/constants.h", "C++", 1, 0, 1, 2
"/home/levce/projectsDED/event_handler2/Event_handler/main.cpp", "C++", 4, 0, 1, 5
"/home/levce/projectsDED/event_handler2/Event_handler/maink.cpp", "C++", -52, 0, -24, -76
"/home/levce/projectsDED/event_handler2/Event_handler/maino.cpp", "C++", 52, 0, 24, 76
"/home/levce/projectsDED/event_handler2/Event_handler/smth.cpp", "C++", 6, 0, 1, 7
"/home/levce/projectsDED/event_handler2/Event_handler/tools.h", "C++", 3, -3, 0, 0
"Total", "-", 622, 1, 159, 782
