"filename", "language", "C++", "comment", "blank", "total"
"/home/levce/projectsDED/event_handler2/Event_handler/Button.h", "C++", 10, 0, 1, 11
"/home/levce/projectsDED/event_handler2/Event_handler/Canvas.h", "C++", 4, 0, 1, 5
"/home/levce/projectsDED/event_handler2/Event_handler/Event.h", "C++", 0, 0, 1, 1
"/home/levce/projectsDED/event_handler2/Event_handler/Font.h", "C++", 23, 0, 9, 32
"/home/levce/projectsDED/event_handler2/Event_handler/GraphicLib.h", "C++", 0, 0, 2, 2
"/home/levce/projectsDED/event_handler2/Event_handler/Image.h", "C++", 5, 0, 2, 7
"/home/levce/projectsDED/event_handler2/Event_handler/Menu.h", "C++", 4, 0, 2, 6
"/home/levce/projectsDED/event_handler2/Event_handler/Surface.h", "C++", 3, 0, 0, 3
"/home/levce/projectsDED/event_handler2/Event_handler/Text.h", "C++", 7, 0, 3, 10
"/home/levce/projectsDED/event_handler2/Event_handler/Tool.h", "C++", 1, 0, 0, 1
"/home/levce/projectsDED/event_handler2/Event_handler/ToolButton.h", "C++", 111, 0, 23, 134
"/home/levce/projectsDED/event_handler2/Event_handler/ToolManager.h", "C++", -4, 0, -2, -6
"/home/levce/projectsDED/event_handler2/Event_handler/ToolPaint.h", "C++", -5, 0, 1, -4
"/home/levce/projectsDED/event_handler2/Event_handler/main.cpp", "C++", 33, 0, 15, 48
"/home/levce/projectsDED/event_handler2/Event_handler/main2.cpp", "C++", -51, 0, -21, -72
"/home/levce/projectsDED/event_handler2/Event_handler/main3.cpp", "C++", 19, 0, 8, 27
"Total", "-", 160, 0, 45, 205
