"filename", "language", "C++", "Makefile", "comment", "blank", "total"
"/home/levce/projectsDED/event_handler2/Event_handler/Application.h", "C++", 12, 0, 0, 0, 12
"/home/levce/projectsDED/event_handler2/Event_handler/Button.cpp", "C++", 7, 0, 0, 6, 13
"/home/levce/projectsDED/event_handler2/Event_handler/Button.h", "C++", 35, 0, 0, 3, 38
"/home/levce/projectsDED/event_handler2/Event_handler/Canvas.h", "C++", 20, 0, 0, 9, 29
"/home/levce/projectsDED/event_handler2/Event_handler/Color.cpp", "C++", 8, 0, 0, 1, 9
"/home/levce/projectsDED/event_handler2/Event_handler/Color.h", "C++", 2, 0, 0, 0, 2
"/home/levce/projectsDED/event_handler2/Event_handler/ComboBox.h", "C++", 14, 0, 0, 2, 16
"/home/levce/projectsDED/event_handler2/Event_handler/CompositeObject.h", "C++", 3, 0, 0, -1, 2
"/home/levce/projectsDED/event_handler2/Event_handler/Editor.h", "C++", 23, 0, 0, 7, 30
"/home/levce/projectsDED/event_handler2/Event_handler/FunctorCommand.h", "C++", 22, 0, 0, 11, 33
"/home/levce/projectsDED/event_handler2/Event_handler/GraphicLib.h", "C++", 1, 0, 0, 0, 1
"/home/levce/projectsDED/event_handler2/Event_handler/Image.h", "C++", 8, 0, 0, 2, 10
"/home/levce/projectsDED/event_handler2/Event_handler/Label.h", "C++", 68, 0, 0, 6, 74
"/home/levce/projectsDED/event_handler2/Event_handler/MainWindow.h", "C++", 9, 0, 0, 0, 9
"/home/levce/projectsDED/event_handler2/Event_handler/Makefile", "Makefile", 0, 2, 0, 1, 3
"/home/levce/projectsDED/event_handler2/Event_handler/OpenWindow.h", "C++", 71, 0, 0, 17, 88
"/home/levce/projectsDED/event_handler2/Event_handler/SaveWindow.h", "C++", 70, 0, 0, 17, 87
"/home/levce/projectsDED/event_handler2/Event_handler/Sprite.h", "C++", 8, 0, 0, 2, 10
"/home/levce/projectsDED/event_handler2/Event_handler/Text.h", "C++", 4, 0, 0, 1, 5
"/home/levce/projectsDED/event_handler2/Event_handler/ToolEyeDropper.cpp", "C++", 44, 0, 0, 10, 54
"/home/levce/projectsDED/event_handler2/Event_handler/ToolEyeDropper.h", "C++", 80, 0, 3, 22, 105
"/home/levce/projectsDED/event_handler2/Event_handler/ToolManager.h", "C++", 5, 0, 0, 0, 5
"/home/levce/projectsDED/event_handler2/Event_handler/Window.cpp", "C++", 13, 0, 0, 1, 14
"/home/levce/projectsDED/event_handler2/Event_handler/Window.h", "C++", 4, 0, 0, 0, 4
"/home/levce/projectsDED/event_handler2/Event_handler/main.cpp", "C++", 44, 0, -1, 18, 61
"/home/levce/projectsDED/event_handler2/Event_handler/tools.h", "C++", 0, 0, 0, -1, -1
"Total", "-", 575, 2, 2, 134, 713
