"filename", "language", "C++", "comment", "blank", "total"
"/home/levce/projectsDED/event_handler2/Event_handler/Button.cpp", "C++", 8, -8, 0, 0
"/home/levce/projectsDED/event_handler2/Event_handler/ColorPicker.h", "C++", 42, 0, 8, 50
"/home/levce/projectsDED/event_handler2/Event_handler/Sprite.h", "C++", 1, 0, 0, 1
"/home/levce/projectsDED/event_handler2/Event_handler/TextureManager.h", "C++", 14, 0, 2, 16
"/home/levce/projectsDED/event_handler2/Event_handler/ToolEyeDropper.h", "C++", 1, 0, 0, 1
"/home/levce/projectsDED/event_handler2/Event_handler/main.cpp", "C++", 21, 3, 4, 28
"Total", "-", 87, -5, 14, 96
