"filename", "language", "C++", "Makefile", "comment", "blank", "total"
"/home/levce/projectsDED/event_handler2/Event_handler/Application.h", "C++", 50, 0, 0, 11, 61
"/home/levce/projectsDED/event_handler2/Event_handler/Button.h", "C++", 104, 0, 0, 22, 126
"/home/levce/projectsDED/event_handler2/Event_handler/Color.cpp", "C++", 270, 0, 0, 77, 347
"/home/levce/projectsDED/event_handler2/Event_handler/Color.h", "C++", 65, 0, 0, 18, 83
"/home/levce/projectsDED/event_handler2/Event_handler/Container.h", "C++", 12, 0, 0, 3, 15
"/home/levce/projectsDED/event_handler2/Event_handler/EventManager.h", "C++", 123, 0, 0, 30, 153
"/home/levce/projectsDED/event_handler2/Event_handler/Label.h", "C++", 16, 0, 0, 7, 23
"/home/levce/projectsDED/event_handler2/Event_handler/MainWindow.h", "C++", 15, 0, 0, 4, 19
"/home/levce/projectsDED/event_handler2/Event_handler/Makefile", "Makefile", 0, 16, 0, 8, 24
"/home/levce/projectsDED/event_handler2/Event_handler/RenderTexture.h", "C++", 26, 0, 0, 5, 31
"/home/levce/projectsDED/event_handler2/Event_handler/ScrollBar.h", "C++", 71, 0, 0, 16, 87
"/home/levce/projectsDED/event_handler2/Event_handler/ScrollContainer.h", "C++", 13, 0, 0, 2, 15
"/home/levce/projectsDED/event_handler2/Event_handler/ScrollVirtualWindow.h", "C++", 61, 0, 0, 16, 77
"/home/levce/projectsDED/event_handler2/Event_handler/Sprite.h", "C++", 73, 0, 0, 18, 91
"/home/levce/projectsDED/event_handler2/Event_handler/Texture.h", "C++", 33, 0, 0, 10, 43
"/home/levce/projectsDED/event_handler2/Event_handler/Vector2d.cpp", "C++", 67, 0, 0, 18, 85
"/home/levce/projectsDED/event_handler2/Event_handler/Vector2d.h", "C++", 32, 0, 0, 7, 39
"/home/levce/projectsDED/event_handler2/Event_handler/VirtualWindow.h", "C++", 147, 0, 0, 37, 184
"/home/levce/projectsDED/event_handler2/Event_handler/Widget.h", "C++", 17, 0, 0, 6, 23
"/home/levce/projectsDED/event_handler2/Event_handler/Window.cpp", "C++", 44, 0, 0, 18, 62
"/home/levce/projectsDED/event_handler2/Event_handler/Window.h", "C++", 28, 0, 0, 8, 36
"/home/levce/projectsDED/event_handler2/Event_handler/constants.h", "C++", 10, 0, 0, 2, 12
"/home/levce/projectsDED/event_handler2/Event_handler/functions.cpp", "C++", 34, 0, 0, 9, 43
"/home/levce/projectsDED/event_handler2/Event_handler/functions.h", "C++", 6, 0, 0, 2, 8
"/home/levce/projectsDED/event_handler2/Event_handler/main.cpp", "C++", 76, 0, 0, 23, 99
"/home/levce/projectsDED/event_handler2/Event_handler/test.cpp", "C++", 18, 0, 0, 3, 21
"/home/levce/projectsDED/event_handler2/Event_handler/test1.cpp", "C++", 56, 0, 0, 20, 76
"Total", "-", 1467, 16, 0, 400, 1883
