"filename", "language", "C++", "comment", "blank", "total"
"/home/levce/projectsDED/event_handler2/Event_handler/Memento.h", "C++", 0, -109, -11, -120
"/home/levce/projectsDED/event_handler2/Event_handler/Surface.h", "C++", 0, 1, 2, 3
"/home/levce/projectsDED/event_handler2/Event_handler/ToolBucket.cpp", "C++", -84, 70, -6, -20
"/home/levce/projectsDED/event_handler2/Event_handler/ToolEyeDropper.h", "C++", 0, 0, 1, 1
"/home/levce/projectsDED/event_handler2/Event_handler/ToolManager.h", "C++", -1, 0, 0, -1
"Total", "-", -85, -38, -14, -137
