"filename", "language", "C++", "comment", "blank", "total"
"/home/levce/projectsDED/event_handler2/Event_handler/Color.cpp", "C++", 46, 0, 9, 55
"/home/levce/projectsDED/event_handler2/Event_handler/Color.h", "C++", 1, 0, 1, 2
"/home/levce/projectsDED/event_handler2/Event_handler/DecoratorScrollBar.h", "C++", -4, 0, -1, -5
"/home/levce/projectsDED/event_handler2/Event_handler/Edit.h", "C++", 1, 0, 0, 1
"/home/levce/projectsDED/event_handler2/Event_handler/HSLpalette.h", "C++", -108, 0, -21, -129
"/home/levce/projectsDED/event_handler2/Event_handler/HSVpalette.h", "C++", 125, 0, 29, 154
"/home/levce/projectsDED/event_handler2/Event_handler/ScrollBar.h", "C++", 1, 0, 0, 1
"/home/levce/projectsDED/event_handler2/Event_handler/main9.cpp", "C++", -52, 0, -24, -76
"/home/levce/projectsDED/event_handler2/Event_handler/maink.cpp", "C++", 52, 0, 24, 76
"Total", "-", 62, 0, 17, 79
